species,matrix,active_ingredient,category_type,cause,dose_amount,dose_unit,frequency_per_day,duration_days,reason,mrl_limit,mrl_unit,withdrawal_period_days
cattle,milk,Oxytetracycline,antibiotic,Fungal infection,215.44,mg,2,14,Drop in egg production,108.86,ug/kg,1
poultry,meat,Oxytetracycline,antibiotic,Secondary bacterial infection,1.05,g,1,7,Respiratory distress,329.02,ug/kg,13
sheep,meat,Enrofloxacin,antibiotic,Nutritional deficiency,24.78,g,1,1,Skin lesions,91.65,ug/kg,9
pig,meat,Doxycycline,antibiotic,Viral infection,661.87,mg,1,1,Wounds,52.58,ug/kg,3
sheep,meat,Tylosin,antibiotic,Mycoplasma infection,38.86,g,2,2,Poor weight gain,94.0,ug/kg,14
goat,meat,Tylosin,antibiotic,Secondary bacterial infection,541.59,mg,2,2,Respiratory distress,96.79,ug/kg,5
sheep,meat,Oxytetracycline,antibiotic,Parasitic infestation,10.0,tablet,1,7,Reduced production,301.81,ug/kg,9
pig,meat,Florfenicol,antibiotic,Mycoplasma infection,8.5,g,2,2,Poor weight gain,909.4,ug/kg,14
goat,meat,Enrofloxacin,antibiotic,Fungal infection,7.31,g,1,14,Cough,102.25,ug/kg,9
goat,meat,Sulfonamides,antibiotic,Viral infection,1.0,tablet,2,7,Cough,94.97,ug/kg,5
cattle,meat,Tetracycline,antibiotic,Bacterial infection,27.55,ml,1,14,Skin lesions,287.77,ug/kg,20
sheep,meat,Sulfonamides,antibiotic,Parasitic infestation,10.0,tablet,1,5,Skin lesions,103.29,ug/kg,20
goat,meat,Doxycycline,antibiotic,Contaminated feed/water,16.11,ml,1,1,Respiratory distress,49.57,ug/kg,10
sheep,meat,Tylosin,antibiotic,Fungal infection,15.68,ml,2,5,Lameness,108.1,ug/kg,13
poultry,meat,Tylosin,antibiotic,Mycoplasma infection,2.02,g,1,2,Reduced production,90.27,ug/kg,14
sheep,meat,Sulfonamides,antibiotic,Bacterial infection,11.94,ml,1,3,Wounds,103.32,ug/kg,9
goat,meat,Oxytetracycline,antibiotic,Protozoal infection,42.17,ml,2,14,Diarrhea,309.36,ug/kg,7
cattle,meat,Tetracycline,antibiotic,Contaminated feed/water,10.0,tablet,3,10,Reduced production,325.01,ug/kg,9
pig,meat,Oxytetracycline,antibiotic,Viral infection,8.44,g,2,4,Drop in egg production,322.02,ug/kg,3
poultry,meat,Tylosin,antibiotic,Fungal infection,9.18,litre,3,4,Poor weight gain,104.05,ug/kg,4
sheep,meat,Enrofloxacin,antibiotic,Fungal infection,8.8,ml,1,7,Skin lesions,94.33,ug/kg,11
sheep,meat,Oxytetracycline,antibiotic,Poor hygiene,23.71,ml,1,2,Cough,294.5,ug/kg,7
sheep,meat,Oxytetracycline,antibiotic,Nutritional deficiency,10.28,g,1,7,Wounds,322.97,ug/kg,4
goat,meat,Enrofloxacin,antibiotic,Fungal infection,5.0,tablet,2,4,Reduced production,91.13,ug/kg,16
goat,meat,Doxycycline,antibiotic,Secondary bacterial infection,45.51,ml,1,10,Reduced production,48.99,ug/kg,17
sheep,meat,Oxytetracycline,antibiotic,Bacterial infection,46.74,ml,3,5,Fever,327.24,ug/kg,16
poultry,egg,Tylosin,antibiotic,Contaminated feed/water,0.36,kg,3,2,Poor weight gain,98.21,ug/kg,4
goat,meat,Amoxicillin,antibiotic,Viral infection,1.78,g,1,14,Reduced production,48.61,ug/kg,14
cattle,milk,Penicillin-G,antibiotic,Mycoplasma infection,37.49,g,2,14,Wounds,4.19,ug/kg,1
poultry,egg,Doxycycline,antibiotic,Bacterial infection,12.77,g,1,5,Reduced production,52.17,ug/kg,14
goat,meat,Sulfonamides,antibiotic,Mycoplasma infection,5.0,tablet,2,14,Reduced production,104.18,ug/kg,20
pig,meat,Oxytetracycline,antibiotic,Bacterial infection,11.04,ml,1,14,Lameness,273.91,ug/kg,16
cattle,meat,Penicillin-G,antibiotic,Parasitic infestation,507.03,mg,1,1,Cough,54.01,ug/kg,8
sheep,meat,Enrofloxacin,antibiotic,Viral infection,17.92,g,2,1,Fever,100.78,ug/kg,6
cattle,milk,Enrofloxacin,antibiotic,Contaminated feed/water,22.76,ml,1,7,Drop in egg production,100.28,ug/kg,4
cattle,meat,Enrofloxacin,antibiotic,Protozoal infection,280.86,mg,2,14,Respiratory distress,99.17,ug/kg,19
pig,meat,Amoxicillin,antibiotic,Nutritional deficiency,964.42,mg,2,7,Cough,51.03,ug/kg,5
pig,meat,Enrofloxacin,antibiotic,Fungal infection,719.88,mg,1,14,Respiratory distress,101.14,ug/kg,15
pig,meat,Enrofloxacin,antibiotic,Mycoplasma infection,635.57,mg,1,5,Drop in egg production,96.54,ug/kg,19
poultry,egg,Oxytetracycline,antibiotic,Mycoplasma infection,28.0,g,2,14,Fever,322.56,ug/kg,3
sheep,meat,Sulfonamides,antibiotic,Fungal infection,23.59,ml,2,1,Skin lesions,93.59,ug/kg,18
pig,meat,Oxytetracycline,antibiotic,Mycoplasma infection,10.0,tablet,1,7,Diarrhea,327.82,ug/kg,7
sheep,meat,Sulfonamides,antibiotic,Contaminated feed/water,39.36,ml,2,10,Poor weight gain,105.46,ug/kg,15
poultry,meat,Enrofloxacin,antibiotic,Fungal infection,5.0,sachet,2,2,Fever,99.79,ug/kg,14
sheep,meat,Amoxicillin,antibiotic,Nutritional deficiency,2.0,tablet,1,10,Diarrhea,48.45,ug/kg,14
sheep,meat,Amoxicillin,antibiotic,Contaminated feed/water,5.41,ml,1,7,Lameness,52.48,ug/kg,11
cattle,meat,Tylosin,antibiotic,Secondary bacterial infection,38.65,g,2,10,Drop in egg production,97.73,ug/kg,20
cattle,milk,Sulfonamides,antibiotic,Nutritional deficiency,444.49,mg,3,3,Lameness,95.61,ug/kg,5
goat,meat,Tylosin,antibiotic,Protozoal infection,1.13,g,1,14,Skin lesions,99.93,ug/kg,18
pig,meat,Oxytetracycline,antibiotic,Fungal infection,22.43,g,1,4,Diarrhea,299.82,ug/kg,19
poultry,egg,Doxycycline,antibiotic,Bacterial infection,7.45,g,1,14,Skin lesions,48.13,ug/kg,12
poultry,meat,Enrofloxacin,antibiotic,Poor hygiene,23.97,g,2,10,Wounds,105.55,ug/kg,14
goat,meat,Sulfonamides,antibiotic,Nutritional deficiency,593.5,mg,2,14,Wounds,105.28,ug/kg,12
goat,meat,Doxycycline,antibiotic,Bacterial infection,0.18,g,1,4,Poor weight gain,47.36,ug/kg,18
pig,meat,Florfenicol,antibiotic,Poor hygiene,33.78,g,1,1,Fever,939.64,ug/kg,9
poultry,egg,Tylosin,antibiotic,Parasitic infestation,8.81,litre,1,2,Cough,97.87,ug/kg,14
goat,meat,Amoxicillin,antibiotic,Protozoal infection,34.03,g,1,2,Reduced production,50.93,ug/kg,9
cattle,milk,Tylosin,antibiotic,Protozoal infection,47.07,g,2,2,Wounds,101.75,ug/kg,5
poultry,egg,Enrofloxacin,antibiotic,Protozoal infection,2.03,litre,1,4,Respiratory distress,106.59,ug/kg,11
pig,meat,Amoxicillin,antibiotic,Fungal infection,1.0,tablet,2,4,Drop in egg production,49.33,ug/kg,20
goat,meat,Sulfonamides,antibiotic,Contaminated feed/water,1.0,tablet,2,4,Poor weight gain,99.09,ug/kg,5
pig,meat,Amoxicillin,antibiotic,Mycoplasma infection,0.5,tablet,1,10,Lameness,46.99,ug/kg,17
cattle,meat,Oxytetracycline,antibiotic,Protozoal infection,28.77,g,2,14,Skin lesions,324.17,ug/kg,18
cattle,meat,Gentamicin,antibiotic,Parasitic infestation,905.35,mg,1,1,Wounds,183.95,ug/kg,17
cattle,milk,Enrofloxacin,antibiotic,Protozoal infection,23.08,g,1,5,Cough,109.8,ug/kg,4
poultry,egg,Doxycycline,antibiotic,Viral infection,3.07,kg,2,1,Drop in egg production,50.19,ug/kg,7
pig,meat,Oxytetracycline,antibiotic,Secondary bacterial infection,1.0,tablet,2,4,Lameness,279.34,ug/kg,7
pig,meat,Tylosin,antibiotic,Mycoplasma infection,15.32,g,2,3,Fever,103.82,ug/kg,12
goat,meat,Oxytetracycline,antibiotic,Nutritional deficiency,5.0,tablet,3,7,Cough,286.74,ug/kg,15
goat,meat,Oxytetracycline,antibiotic,Poor hygiene,26.74,ml,2,5,Skin lesions,298.47,ug/kg,6
goat,meat,Doxycycline,antibiotic,Mycoplasma infection,4.17,g,2,3,Lameness,52.25,ug/kg,14
poultry,meat,Tylosin,antibiotic,Contaminated feed/water,2.41,kg,3,3,Wounds,104.53,ug/kg,6
cattle,meat,Enrofloxacin,antibiotic,Contaminated feed/water,21.31,ml,1,10,Skin lesions,98.8,ug/kg,7
goat,meat,Amoxicillin,antibiotic,Contaminated feed/water,12.43,ml,1,14,Cough,52.81,ug/kg,8
cattle,meat,Enrofloxacin,antibiotic,Nutritional deficiency,679.89,mg,1,10,Poor weight gain,107.76,ug/kg,12
goat,meat,Tylosin,antibiotic,Contaminated feed/water,0.27,g,3,7,Reduced production,109.72,ug/kg,20
pig,meat,Amoxicillin,antibiotic,Poor hygiene,5.0,tablet,1,2,Respiratory distress,48.53,ug/kg,6
pig,meat,Amoxicillin,antibiotic,Bacterial infection,11.4,g,3,10,Wounds,53.68,ug/kg,5
pig,meat,Tylosin,antibiotic,Secondary bacterial infection,16.34,ml,1,10,Drop in egg production,99.66,ug/kg,4
goat,meat,Tylosin,antibiotic,Viral infection,9.9,ml,1,4,Reduced production,103.15,ug/kg,17
poultry,meat,Oxytetracycline,antibiotic,Secondary bacterial infection,26.93,g,2,5,Cough,288.66,ug/kg,4
pig,meat,Florfenicol,antibiotic,Nutritional deficiency,70.72,mg,1,2,Diarrhea,1003.74,ug/kg,3
pig,meat,Amoxicillin,antibiotic,Nutritional deficiency,28.04,g,2,10,Lameness,50.48,ug/kg,17
goat,meat,Tylosin,antibiotic,Contaminated feed/water,921.24,mg,3,14,Skin lesions,98.03,ug/kg,17
sheep,meat,Sulfonamides,antibiotic,Nutritional deficiency,7.63,g,1,2,Diarrhea,95.46,ug/kg,10
cattle,meat,Tetracycline,antibiotic,Protozoal infection,58.52,mg,2,1,Drop in egg production,304.53,ug/kg,14
pig,meat,Oxytetracycline,antibiotic,Fungal infection,37.61,g,1,10,Wounds,273.35,ug/kg,10
pig,meat,Doxycycline,antibiotic,Bacterial infection,1.0,tablet,3,14,Cough,48.36,ug/kg,3
poultry,egg,Tylosin,antibiotic,Secondary bacterial infection,3.48,kg,1,14,Wounds,102.28,ug/kg,14
sheep,meat,Enrofloxacin,antibiotic,Poor hygiene,9.56,g,1,2,Drop in egg production,109.13,ug/kg,19
cattle,meat,Gentamicin,antibiotic,Bacterial infection,49.46,ml,1,5,Respiratory distress,197.9,ug/kg,18
goat,meat,Oxytetracycline,antibiotic,Poor hygiene,41.45,g,3,2,Lameness,327.18,ug/kg,4
poultry,meat,Tylosin,antibiotic,Nutritional deficiency,2.4,kg,2,3,Poor weight gain,90.01,ug/kg,11
sheep,meat,Oxytetracycline,antibiotic,Parasitic infestation,1.0,tablet,3,1,Fever,313.14,ug/kg,9
cattle,milk,Sulfonamides,antibiotic,Nutritional deficiency,32.1,g,2,4,Reduced production,101.16,ug/kg,6
poultry,egg,Doxycycline,antibiotic,Secondary bacterial infection,6.8,litre,1,14,Lameness,52.8,ug/kg,10
poultry,egg,Oxytetracycline,antibiotic,Fungal infection,7.1,litre,1,3,Drop in egg production,284.08,ug/kg,13
poultry,egg,Oxytetracycline,antibiotic,Mycoplasma infection,1.0,sachet,2,10,Diarrhea,303.24,ug/kg,14
goat,meat,Doxycycline,antibiotic,Secondary bacterial infection,10.0,tablet,1,14,Diarrhea,54.93,ug/kg,12
goat,meat,Enrofloxacin,antibiotic,Secondary bacterial infection,31.51,ml,2,1,Reduced production,99.25,ug/kg,5
sheep,meat,Enrofloxacin,antibiotic,Parasitic infestation,30.89,g,1,3,Fever,94.36,ug/kg,10
sheep,meat,Tylosin,antibiotic,Nutritional deficiency,418.42,mg,3,7,Drop in egg production,101.35,ug/kg,4
goat,meat,Enrofloxacin,antibiotic,Nutritional deficiency,28.82,ml,3,2,Diarrhea,103.35,ug/kg,20
goat,meat,Doxycycline,antibiotic,Parasitic infestation,240.02,mg,2,10,Reduced production,53.44,ug/kg,4
pig,meat,Amoxicillin,antibiotic,Viral infection,0.5,tablet,2,3,Poor weight gain,48.88,ug/kg,17
goat,meat,Doxycycline,antibiotic,Nutritional deficiency,1.0,tablet,1,7,Reduced production,52.65,ug/kg,9
goat,meat,Sulfonamides,antibiotic,Poor hygiene,710.11,mg,3,7,Cough,92.35,ug/kg,9
sheep,meat,Oxytetracycline,antibiotic,Bacterial infection,5.0,tablet,1,10,Poor weight gain,308.89,ug/kg,17
sheep,meat,Doxycycline,antibiotic,Bacterial infection,1.09,g,1,14,Drop in egg production,51.6,ug/kg,8
poultry,egg,Oxytetracycline,antibiotic,Mycoplasma infection,3.24,kg,3,10,Wounds,313.04,ug/kg,11
pig,meat,Tylosin,antibiotic,Mycoplasma infection,44.78,g,2,1,Diarrhea,107.02,ug/kg,12
sheep,meat,Doxycycline,antibiotic,Fungal infection,8.76,g,3,2,Poor weight gain,46.2,ug/kg,15
sheep,meat,Amoxicillin,antibiotic,Bacterial infection,35.21,g,2,3,Drop in egg production,48.74,ug/kg,5
poultry,egg,Tylosin,antibiotic,Fungal infection,4.31,kg,1,7,Lameness,107.81,ug/kg,7
goat,meat,Enrofloxacin,antibiotic,Nutritional deficiency,37.64,g,1,4,Drop in egg production,107.87,ug/kg,20
cattle,milk,Oxytetracycline,antibiotic,Secondary bacterial infection,12.36,g,3,2,Drop in egg production,92.41,ug/kg,6
sheep,meat,Doxycycline,antibiotic,Bacterial infection,5.0,tablet,2,4,Reduced production,50.37,ug/kg,19
goat,meat,Sulfonamides,antibiotic,Nutritional deficiency,45.0,ml,2,1,Fever,98.43,ug/kg,6
sheep,meat,Oxytetracycline,antibiotic,Nutritional deficiency,7.55,ml,1,1,Wounds,293.88,ug/kg,10
goat,meat,Oxytetracycline,antibiotic,Poor hygiene,6.52,g,1,4,Cough,314.15,ug/kg,9
sheep,meat,Doxycycline,antibiotic,Viral infection,44.61,ml,2,5,Wounds,45.91,ug/kg,5
goat,meat,Amoxicillin,antibiotic,Nutritional deficiency,718.85,mg,2,3,Fever,51.51,ug/kg,11
goat,meat,Amoxicillin,antibiotic,Bacterial infection,519.73,mg,1,1,Drop in egg production,52.1,ug/kg,16
pig,meat,Oxytetracycline,antibiotic,Nutritional deficiency,281.09,mg,2,7,Diarrhea,294.64,ug/kg,14
cattle,meat,Oxytetracycline,antibiotic,Bacterial infection,35.34,g,2,2,Fever,278.03,ug/kg,6
poultry,egg,Tylosin,antibiotic,Nutritional deficiency,1.0,sachet,3,14,Reduced production,100.01,ug/kg,14
poultry,meat,Doxycycline,antibiotic,Poor hygiene,2.26,litre,2,2,Lameness,46.59,ug/kg,14
cattle,milk,Ceftriaxone,antibiotic,Parasitic infestation,2.0,tablet,2,14,Cough,108.66,ug/kg,6
poultry,egg,Enrofloxacin,antibiotic,Contaminated feed/water,2.05,litre,2,2,Diarrhea,109.0,ug/kg,5
pig,meat,Amoxicillin,antibiotic,Mycoplasma infection,4.07,ml,1,10,Wounds,50.04,ug/kg,19
poultry,meat,Enrofloxacin,antibiotic,Secondary bacterial infection,6.64,g,1,3,Diarrhea,96.73,ug/kg,6
pig,meat,Florfenicol,antibiotic,Protozoal infection,125.01,mg,1,7,Poor weight gain,1071.6,ug/kg,6
poultry,egg,Enrofloxacin,antibiotic,Bacterial infection,24.11,g,2,10,Skin lesions,98.93,ug/kg,7
cattle,milk,Ceftriaxone,antibiotic,Mycoplasma infection,33.49,ml,2,14,Reduced production,100.56,ug/kg,1
pig,meat,Tylosin,antibiotic,Secondary bacterial infection,3.05,kg,3,7,Reduced production,103.66,ug/kg,13
goat,meat,Tylosin,antibiotic,Poor hygiene,1.0,tablet,1,2,Reduced production,103.61,ug/kg,6
sheep,meat,Oxytetracycline,antibiotic,Secondary bacterial infection,9.27,g,3,1,Lameness,318.7,ug/kg,3
poultry,meat,Enrofloxacin,antibiotic,Nutritional deficiency,2.0,sachet,3,14,Poor weight gain,98.17,ug/kg,3
poultry,meat,Enrofloxacin,antibiotic,Mycoplasma infection,4.03,litre,1,5,Fever,92.25,ug/kg,4
sheep,meat,Sulfonamides,antibiotic,Poor hygiene,42.58,g,1,1,Wounds,107.92,ug/kg,17
cattle,milk,Penicillin-G,antibiotic,Bacterial infection,46.47,ml,1,7,Wounds,3.93,ug/kg,5
poultry,egg,Enrofloxacin,antibiotic,Viral infection,1.0,sachet,3,5,Wounds,92.42,ug/kg,14
pig,meat,Amoxicillin,antibiotic,Fungal infection,27.86,ml,1,1,Respiratory distress,51.28,ug/kg,13
goat,meat,Oxytetracycline,antibiotic,Fungal infection,10.0,tablet,1,4,Cough,299.25,ug/kg,7
pig,meat,Tylosin,antibiotic,Contaminated feed/water,2.62,kg,1,7,Respiratory distress,101.74,ug/kg,15
cattle,meat,Sulfonamides,antibiotic,Bacterial infection,5.34,g,2,1,Reduced production,109.14,ug/kg,18
pig,meat,Amoxicillin,antibiotic,Parasitic infestation,32.88,ml,1,3,Fever,47.09,ug/kg,10
sheep,meat,Amoxicillin,antibiotic,Fungal infection,6.44,ml,2,2,Reduced production,54.02,ug/kg,16
pig,meat,Tylosin,antibiotic,Contaminated feed/water,1.62,ml,1,4,Cough,100.7,ug/kg,13
cattle,meat,Doxycycline,antibiotic,Parasitic infestation,5.47,ml,3,14,Cough,50.86,ug/kg,20
poultry,meat,Doxycycline,antibiotic,Nutritional deficiency,1.0,sachet,3,10,Diarrhea,49.75,ug/kg,10
pig,meat,Enrofloxacin,antibiotic,Fungal infection,10.0,tablet,3,2,Wounds,103.51,ug/kg,14
cattle,meat,Penicillin-G,antibiotic,Contaminated feed/water,1.0,tablet,2,3,Lameness,51.15,ug/kg,17
goat,meat,Oxytetracycline,antibiotic,Contaminated feed/water,46.73,ml,1,7,Lameness,291.79,ug/kg,20
pig,meat,Enrofloxacin,antibiotic,Parasitic infestation,1.0,tablet,2,10,Drop in egg production,98.83,ug/kg,19
cattle,meat,Oxytetracycline,antibiotic,Mycoplasma infection,14.82,ml,2,4,Fever,280.71,ug/kg,13
poultry,egg,Oxytetracycline,antibiotic,Bacterial infection,4.39,litre,2,10,Drop in egg production,283.05,ug/kg,8
sheep,meat,Sulfonamides,antibiotic,Viral infection,9.56,ml,2,14,Diarrhea,90.65,ug/kg,12
pig,meat,Amoxicillin,antibiotic,Secondary bacterial infection,3.96,kg,1,7,Lameness,50.92,ug/kg,20
cattle,milk,Sulfonamides,antibiotic,Contaminated feed/water,5.0,tablet,2,1,Drop in egg production,100.57,ug/kg,4
